ing,Energy,Water,Total_lipid,Protein,Carbohydrate,Sugars,Fiber,Calcium,Iron,Sodium,Potassium,Zinc,Vitamin_A_RAE,Vitamin_D,Vitamin_E_alpha_tocopherol,Vitamin_C_total_ascorbic_acid,Thiamin,Niacin,Riboflavin,Cholesterol,Fatty_acids_total_saturated,Fatty_acids_total_trans,Fatty_acids_total_polyunsaturated
BLACK PEPPER,251.0,12.46,3.26,10.39,63.95,0.64,25.3,443.0,9.71,20.0,1329.0,1.19,27.0,0.0,1.04,0.0,0.11,1.14,0.18,0.0,1.39,0.0,1.0
"OIL, OLIVE",884.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.56,2.0,1.0,0.0,0.0,0.0,14.35,0.0,0.0,0.0,0.0,0.0,13.81,0.0,10.52
DISODIUM GUANYLATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEGERMINATED CORN FLOUR,375.0,9.81,1.39,5.59,82.75,0.64,1.9,2.0,0.91,1.0,90.0,0.37,11.0,0.0,0.15,0.0,0.07,2.66,0.06,0.0,0.17,0.0,0.7
DEGERMINATED CORN MEAL,365.0,10.84,1.74,7.54,77.9,1.61,4.97,118.67,3.4,454.0,151.33,0.77,5.5,0.0,0.12,0.0,0.46,3.51,0.27,0.0,0.22,0.0,0.8
"WHEY, DRIED",346.0,3.35,0.81,12.33,73.96,73.96,0.0,1425.0,1.06,1023.5,2184.5,4.14,12.5,0.0,0.01,1.2,0.57,1.21,2.13,4.5,0.51,0.0,0.03
SODIUM CASEINATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNFLOWER SEED,558.8,2.21,46.85,22.07,22.16,2.82,9.61,76.0,4.93,1403.8,606.0,5.21,0.5,0.0,30.32,1.33,0.64,6.05,0.27,0.0,5.15,0.16,29.91
HONEY,304.0,17.1,0.0,0.3,82.4,82.12,0.2,6.0,0.42,4.0,52.0,0.22,0.0,0.0,0.0,0.5,0.0,0.12,0.04,0.0,0.0,0.0,0.0
ROCK SALT,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.0,0.1,39000.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
