Rank,Snack_Top200_Ing,Energy,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Sugars, total","Fiber, total dietary","Calcium, Ca","Iron, Fe","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, RAE","Vitamin A, IU",Vitamin D,Vitamin E (alpha-tocopherol),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
70,LEAVENING,325.0,5.08,40.44,7.61,41.22,0.0,26.9,30.0,2.17,955.0,51.0,7.94,0.0,0.0,0.0,0.0,0.3,10.99,4.0,40.2,0.0,0.0,1.001,4.309,0.017
72,GARLIC,149.0,58.58,6.36,0.5,33.06,1.0,2.1,181.0,1.7,401.0,17.0,1.16,0.0,9.0,0.0,0.08,31.2,0.2,0.11,0.7,0.0,0.0,0.089,0.011,0.249
73,"OIL, HIGH OLEIC SUNFLOWER",884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,0.0,9.859,83.689,3.798
74,SUNFLOWER AND CANOLA OIL,884.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,41.08,0.0,0.0,0.0,0.0,0.0,0.219,10.4536,50.4246,34.992000000000004
75,POTASSIUM CHLORIDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,ONION,38.266666666666666,90.26666666666668,1.0506666666666669,0.8646666666666668,7.248666666666667,3.4423076923076925,1.6599999999999997,28.866666666666667,0.4419999999999999,144.8,81.26666666666667,0.1893333333333333,19.384615384615383,443.57142857142856,0.0,0.1542857142857142,7.640000000000001,0.0347333333333333,0.0315333333333333,0.1866666666666666,0.0,0.0,0.1329285714285714,0.1737857142857142,0.4387857142857143
77,CANOLA AND SUNFLOWER OIL,886.6666666666666,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12333333333333,0.0,0.0,0.0,0.0,0.0,5.420833333333333,7.692166666666668,67.05316666666666,21.174666666666667
78,SWEET POTATO,97.6153846153846,74.91615384615385,1.556923076923077,0.4238461538461538,22.209230769230768,8.784545454545453,2.384615384615385,29.0,0.7538461538461539,303.38461538461536,92.3076923076923,0.243076923076923,637.0,12703.083333333334,0.1538461538461538,0.8554545454545454,12.353846153846153,0.0566923076923077,0.0616923076923077,0.7086153846153846,0.6923076923076923,0.0104615384615384,0.2035384615384615,0.0722307692307692,0.0855384615384615
79,MALT,361.0,8.21,10.28,1.84,78.3,0.8,7.1,37.0,4.71,224.0,11.0,2.06,1.0,19.0,0.0,0.57,0.6,0.309,0.308,5.636,0.0,0.0,0.386,0.254,0.953
80,FRUCTOSE,368.0,0.0,0.0,0.0,100.0,92.7,0.0,0.0,0.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
