fdc_id,branded_food_category,brand_owner,market_country,description,ingredients,serving_size,serving_size_num,serving_size_unit,Energy(kcal)_zero_thres,Carbohydrate(g)_zero_thres,Total fat(g)_zero_thres,Protein(g)_zero_thres,Sodium(mg)_zero_thres,Total sugar(g)_zero_thres,Saturated fatty acids(g)_zero_thres,Cholesterol(mg)_zero_thres,Calcium(mg)_zero_thres,Fiber(g)_zero_thres,Iron(mg)_zero_thres
1915553,"Chips, Pretzels & Snacks","Wise Foods, Inc.",United States,"CORN CHIPS, BAR-B-QUE","CORN, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CORN, COTTONSEED, SUNFLOWER, SOYBEAN, OR CANOLA OIL), SALT, SUGAR, MALTODEXTRIN, DEXTROSE, SPICES, ONION, PAPRIKA, EXTRACTIVES OF ANNATTO (COLOR), EXTRACTIVES OF PAPRIKA, GARLIC, CITRIC ACID, NATURAL FLAVOR.",,,,,,,,,,,,,,
1915786,"Chips, Pretzels & Snacks",Mountain Man Nut & Fruit Co.,United States,WASABI PEAS,"GREEN PEAS, CORN STARCH, WASABI FLAVOR, LIQUID SUGAR, PALM OIL, SEA SALT, ARTIFICIAL COLORS, FD&C YELLOW #5, BLUE #1.",,,,,,,,,,,,,,
1915878,"Chips, Pretzels & Snacks",Kenny's Candy Company Inc.,United States,CHAOS,"CONFECTIONERY COATING (SUGAR, PALM KERNEL OIL, WHOLE MILK POWDER, NONFAT DRY MILK POWDER, COCOA POWDER, SOY LECITHIN (EMULSIFIER), SALT, NATURAL FLAVOR, PAPRIKA EXTRACT (COLOR)), KETTLE CORN (SUGAR, POPCORN, CORN SYRUP, SUNFLOWER OIL, SALT, SOY LECITHIN, BAKING SODA), CHOCOLATE COVERED CHIP (MILK CHOCOLATE (SUGAR, COCOA BUTTER, WHOLE MILK POWDER, CHOCOLATE LIQUOR, NONFAT DRY MILK POWDER, ANHYDROUS MILKFAT, SOY LECITHIN [EMULSIFIER], VANILLA), POTATOES, VEGETABLE OIL (CORN, AND/OR SUNFLOWER AND/OR CANOLA), SALT), PRETZEL (ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CORN SYRUP, SALT, YEAST).",,,,,,,,,,,,,,
1915840,"Chips, Pretzels & Snacks",Pardoe's Perky Peanuts,United States,"SOURDOUGH PRETZELS PIECES, BAR-B-Q","PRETZELS (WHEAT FLOUR, VEGETABLE FIBER, SALT, CORN OIL, MALT, HONEY, YEAST AND SODA), CANOLA OIL, BBQ SEASONING (CANE SUGAR, WHEAT FLOUR, SALT, SPICES (INCLUDING BLACK PEPPER), NATURAL FLAVOR, DEHYDRATED ONION, TORULA YEAST (CONTAINS NATURAL SMOKE FLAVOR), DEHYDRATED GARLIC, PAPRIKA, EXTRACTIVES OF PAPRIKA, CANOLA OIL AS A PROCESSING AID).",,,,,,,,,,,,,,
1902636,"Chips, Pretzels & Snacks","Wegmans Food Markets, Inc. ",United States,POTATO CHIPS,"POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: SUNFLOWER, CORN, CANOLA), SALT.",,,,,,,,,,,,,,
1902746,"Chips, Pretzels & Snacks","Troyer Potato Products, Inc.",United States,"CRUNCHY POTATO TWIGS, POTATO SNACKS, SEA SALT","POTATO STICKS (DEHYDRATED POTATO, POTATO STARCH, SALT, VEGETABLE EXTRACTS [TUMERIC]), VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA, CORN, COTTONSEED, SAFFLOWER, SOYBEAN OR SUNFLOWER), SEA SALT.",,,,,,,,,,,,,,
1902743,"Chips, Pretzels & Snacks","Wyandot, Inc.",United States,"GRIT CHIPS, CHEDDAR CHEESE","CORN, CORN GRIT, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA CORN, COTTONSEED, SOYBEAN OR SUNFLOWER OIL), MALTODEXTRIN, WHEY, SALT, CHEDDAR CHEESE (CULTURED MILK, SALT AND ENZYMES), ONION POWDER, NONFAT DRY MILK, DEXTROSE, DRY SHORTENING (WHEY, SOYBEAN OIL), SOUR CREAM (CULTURED CREAM, NONFAT DRY MILK), SUGAR, WHEY PROTEIN CONCENTRATE, CITRIC ACID, LACTIC ACID, NATURAL FLAVOR, PAPRIKA EXTRACT, YEAST EXTRACT.",,,,,,,,,,,,,,
1902742,"Chips, Pretzels & Snacks","Wyandot, Inc.",United States,SWEET HEAT GRIT CHIPS,"CORN, CORN GRIT, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA, CORN, COTTONSEED, SOYBEAN OR SUNFLOWER OIL), SALT, MALTODEXTRIN, RICE FLOUR, DEXTROSE, SUGAR, TOMATO POWDER, SODIUM DIACETATE, GARLIC POWDER, RED PEPPER POWDER, MONOSODIUM GLUTAMATE, DRY MOLASSES, CITRIC ACID, HABANERO PEPPER, NATURAL AND ARTIFICIAL FLAVOR, ARTIFICIAL COLOR [INCLUDING CARAMEL COLOR, RED 40 LAKE, YELLOW 5, YELLOW 6, YELLOW 6 LAKE, BLUE 1, RED 40], SPICES, DISODIUM INOSINATE AND DISODIUM GUANYLATE.",,,,,,,,,,,,,,
1902741,"Chips, Pretzels & Snacks","Wyandot, Inc.",United States,GRIT CHIPS,"CORN, CORN GRIT, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA, CORN, COTTONSEED, SOYBEAN OR SUNFLOWER OIL), SALT, NATURAL FLAVOR.",,,,,,,,,,,,,,
1902998,"Chips, Pretzels & Snacks","Wye River, Inc.",United States,"POTATO CHIPS, CRAB SEASONED","POTATOES, VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: CANOLA, CORN, COTTONSEED, SAFFLOWER, SOYBEAN OR SUNFLOWER), SALT, PAPRIKA AND OTHER SPICES, DEXTROSE, SODIUM DIACETATE, MONOSODIUM GLUTAMATE, DEHYDRATED ONION, SUGAR.",,,,,,,,,,,,,,
1903024,"Chips, Pretzels & Snacks","Wegmans Food Markets, Inc. ",United States,"GET POPPIN' CRISPY POTATO SNACKS, BARBECUE","POTATO FLOUR, POTATO STARCH, SUNFLOWER AND/OR CANOLA OIL, BARBECUE SEASONING (SUGAR, MOLASSES POWDER, DEXTROSE, SALT, VINEGAR POWDER [VINEGAR, MALTODEXTRIN], TOMATO POWDER, PAPRIKA, ONION POWDER, NATURAL FLAVORS, GARLIC POWDER, PAPRIKA EXTRACT [COLOR], SPICE, CITRIC ACID, NATURAL SMOKE FLAVOR), RICE FLOUR, AND SALT.",,,,,,,,,,,,,,
1903026,"Chips, Pretzels & Snacks","Wegmans Food Markets, Inc. ",United States,"GET POPPIN' CRISPY POTATO SNACKS, SALT & VINEGAR","POTATO FLOUR, POTATO STARCH, SUNFLOWER AND/OR CANOLA OIL, SALT AND VINEGAR SEASONING (LACTOSE, VINEGAR POWDER, SEA SALT, BARLEY FLOUR, CITRIC ACID, CIDER VINEGAR POWDER, NATURAL FLAVOR), RICE FLOUR AND SALT.",,,,,,,,,,,,,,
